name
Duplex with Private Bathroom by Times Square
Clean style apt. Central midtwn near Javits
Minimalistic 1 bedroom in the heart of Manhattan
A Room with a View at The Funky Loft
Big and Comfy room near Yankee1
LYRIC - NEW Hotel Studio Suite with Kitchen
"HEART OF BROOKLYN, QUEEN BED, 1 BLOCK FROM SUBWAY!"
Very Large Private Room on quiet st
Newly renovated historic brownstone
Beautiful Central Park View
Steps from Times Square and Central Park
Lovely Loft space near Central Park & Times Square
Cozy room near Times Square
Studio Apt. in East Williamsburg
Best of the East Village Cozy 2 Bedroom
Sunny Room 15min from Manhattan
Cool Hand Luke
Nice clean room in Brooklyn
Fresh Studio in Brooklyn Townhouse
GREAT Bedroom in center of the Lower East Side!
Upper West Side Apartment near Central Park
Bright Room With A Great River View
2 Single Beds ★ Renovated ★ Next to Times Square
LOVE Central Park Room Private Bath
Sunny+Cozy Double bedroom in BKLYN!
Home Away from Home-Room in Midtown
MODERN CONDO MINUTES TO NYC **FREE PARKING**
"Times Square, Safe, Clean and Cozy!"
A Cozy Creative Room for Nomads
Safe cute near subway& Manhattan NY NY retro style
"Independent Basement Apt.2 bed  rooms, 1 Bath."
Private and Spacious Queen Room Across From MSG
WeLive Wall Street -- Studio Apartment
White shared space with 0min to bus stop
PRIVATE and SUNNY Williamsburg Apt!
Beautiful Studio Right Next To Times Square!
Freehand New York - Artist Room
Spacious room w/Private Roof Deck in Shared Apt
Room 1/2 block from Central Park!
new sunshine room in chinatown train F is around
Spacious Room in East Village/NoHo
CLEAN COZY & COMFY E. VILLAGE PAD
Beautiful room close to Manhattan
★Unique two bedroom on 2nd Avenue★
"138 Bowery, Standard Queen"
A private room in New York. One block from A (1)
Spacious room near Times Square
"ENTIRE Floor,PRIVATE Bath&Entrance! SUPERHOST :))"
13 Minutes ❤ of NYC Times Square!
Bed-Stuy Gem with Private Entrance
Location is Everything. And Quiet Too!
"Private,Affordable, 20 min to NYC!"
5th ave/Broadway near Empire State
Beautiful private 1BR apt in Harlem
BROOKLYN > Guest Room w/ Queen Bed in Williamsburg
ROOM WITH A  KITCHENETTE
Best Location in NYC! TIMES SQUARE!
Centrally located near Times Square & Bryant Park
Cozy Entire Floor of Brownstone
Accessible Two Bedded Suite With Kitchen near MSG
Private bedroom in great LES spot
Private Bedroom in Manhattan
Tasteful Room in Charming Two Bedroom Apartment
Chic Designer’s Room & 2 Beds in Manhattan LES
Bedroom with Garden at the Back
Cozy and quiet with secret garden
.Melinda's Place
Beautiful Sunny Small Room
Modern Rooftop Loft W/ Private Ensuite & Cityviews
ROOM WITH KITCHENETTE #2
Cozy Well-Furnished Home in the Heart of Harlem
"# CENTRAL PARK - 3 stops away (32""TV room)"
Near Times Square and Hell's Kitchen
Luxury 2 Bedroom With Mini Bar (NO AIRBNB FEES)
"Affordable, Private, Simple & Clean NYC Flat!"
Prime location near Central Park !!
NYC @ Midtown ⚡ 12 Minutes!
Accessible Two Bedded Large One Bedroom in Midtown
"Private Bath + 2 Beds Option , Sunshine Bushwick"
"Private room in Queens, Ny # 1"
LYRIC - NEW Hotel Studio Suite Plus with Kitchen
Midtown cozy convenient
Private+Cozy Room w/ Superhost ($0 Cleaning Fee)!
Charming Union Sq Studio w/Elevator
"20min To Times Square, 10min LGA"
"Watson Hotel, Standard Double Double"
"Live like a local! Queen size bed, private room."
Attic Private Room
"Single Cabins (Chelsea, Manhattan, NYC)"
"2 Blocks from Times Square, Centrally Located!"
Good Deal! Cozy room Near NYC/EWR
YOUR  PRIVATE COZY 1Br + 15min from Manhattan
Lenox Suit Hotel Themed Studio
Backpackers Dream for 1 at The Funky Loft
Fun Spacious Midtown Apt near U.N. & Central Park
Miltons place
NYC Times Square  13 Mins!
13 Minutes ❤ Midtown Manhattan!
Beautiful Bedroom in Manhattan
Cozy Private Entrance & Bathroom
"Large, sunny, private studio Apt 2F"
Sunny Spacious room near central park
Private Suite 15min to Times Square
Spacious private room near central park
BROOKLYN > Guest Room w/ King Bed in Williamsburg
Convenient Bushwick Room for 1 or 2 Guests
SUNNY ROOM IN WILLIAMSBURG - 1 BLOCK TO METRO!!
UNION SQUARE / Perfect Cozy Private Room!
Brooklyn Creative Snooze Factory
Private room in Sunnyside 2 46th St
It's a Beautiful Day in Bed-Stuy!
Enjoy the Times Square experience with the family!
Amazing Central Park view
5 min walk to Times Square! Sleeps 4!
Beautiful Private Home -minutes from NYC!
Cozy 1-Bedroom Flat near Manhattan
nice room in bedstuy D
Original Cabin 22
Cozy brownstone bed & bath; pvt.ent
Charming Suite in Historic Home
"Bright, Modern Room in East Village!"
NYC Times Square in 14 Minutes!
Clean Private Room Quick to Midtown and LGA!
West Village / Bleecker & Cornelia
Midtown great location private Apt
Room with En Suite Bathroom & Deck
Luxe 1-Bedroom Loft Near Manhattan
Brooklyn Queen Bed
"Bright, quiet, cozy 1BR by C Park!"
Great apartment in the heart of Manhattan!
Cozy Private Room next to Times Square!
Hell's Kitchen Enclave: a Diamond in the Rough.
NicE Room  with Private Bathroom BK:) SUPERHOST :)
It's Always Sunny in Bed-Stuy!
Bronx Room Near Yankees + Harlem
Micro Room A
Uptown Bronx Apartment
Luxury studio Bedstuy Brooklyn
Cozy Room in Lively East Village
"Comfy Apt! Private Bathroom, Prime Location, Patio"
"1 BED ROOM ACCOMMODATION 4, 5 GUEST"
Modern 1 bedroom 5min Cental Park
"PRIVATE Room in Spacious, Quiet Apt"
Huge space and MILLION DOLLAR VIEWs
NYC Times Square ⚡ 12 Minutes!
Times Square Brand New Place
Cozy Moroccan 1BR APT in the heart of Astoria
"Sunny, cozy room in Brooklyn."
"Eco friendly, Jersey City, 15 min to NYC - Room 2"
Harlem Style Spacious and Sunny
"Bright, Cozy room in Brooklyn"
Entire Apartement in Queens!8min from Jfk
New Private studio-apartment
"Cozy room in the middle of LES, SoHo"
Private Room & Private bathroom 2mins to subway!
Bright Cozy 2BR 15 Mins Time Square upto 6 Guests
Beautiful Modern Brooklyn Gem
SoHo Bedroom Central and Close to Many Subways
Brownstone studio near central park
Cozy Shared pl by Central Park(Female Guests Only)
"Apartment for 5, Midtown Manhattan"
East Village. Best Space/Location 1 Bdrm 1 Person
Apt near Museum Mile
Large Sunny 2 Bedrooms in Manhattan-Steps2Subway
ENTIRE FLOR :) PRIVATE entrance&full bathroom! :DD
Private Micro Room 2
Affordable Modern/Luxury 2 Bedroom Apt
Cozy place in the Heart of Manhattan
Park Slope Green Guest House
Manhattan's Best Deal!
NYC/NJ - MODERN & PRIVATE STUDIO 15min- EWR
Modern Apt - Vibrant Neighborhood!
Modern Stay in Brownstone Brooklyn
Clean and Comfortable Place to Rest in NYC!
ENTIRE FLOR :) PRIVATE entrance&full bathroom! :D
Bk's Finest City life close to Transportation
Cozier Orchard Street Room in Lower East Side!
"Cute, Bright Private Attic Space in Brooklyn Home"
Stylish & Quiet NYC Retreat!
Luxury 1 bedroom apartment right across New York.
Nice Private Room in Manhattan
"Hotel Hayden, Superior King"
Affordable room near of LGA airport in Queens.
Best Location + Private Roof Deck
Views over rooftops
NEW ! Chic Designer Blue
★HUGE beautiful E. Villager 2nd Av★
Cozy top floor room at Brooklyn&Breakfast
Delightful LIC Brownstone
One Bedroom Mini studio - Free WIFI
"Basement, 1 bus ride to and from TIMES SQUARE NYC"
BRIGHT AND COZY APARTMENT MINUTES TO NEW YORK CITY
Private room in Williamsburg. Very close to train!
"Cozy, private bed & private bath"
Deluxe King in Times Square - Recently Renovated!
Cozy Apartment near Central Park
Indie-Chic Share In Williamsburg
"WONDERFUL, COMFORTABLE STUDIO"
#1 Superhost Special Offer in NYC!
In ❤️ of West Village- Entire Apt
Great location in the heart of Manhattan
PRIVATE Room on Historic Sugar Hill
Prime Williamsburg Large bedroom for 1 Long term
Cosy 2-bedroom apartment near Manhattan
Private Room In Manhattan!
On Broadway & 3 stops to Times Square
Elegant Private Room in Midtown West
LUXURY HUGE 1BR DUPLEX NEAR TRAIN - PATIO OASIS!!
Luxury meets comfort in the heart of Williamsburg!
Spacious 1 BDRM near Central Park
Big Bed in Brooklyn Room; close to train
Private room near new 2nd Ave. Q train!
small room in bedstuy P
Beautiful Loft w/ Waterfront View!
Lovely & bright Brooklyn room close to train
Private Room in Sunnyside 3
Special OFFER on Airbnb NYC Room!
"2017 BUILDING, NEW LOFT, 5 MIN SUB TO MANHATAN"
Luxury STUDIO * PVT Entrance * WOW
NY MIDTOWN DOUBLE ROOM
Guestroom w/ 2 beds 20 mins to NYC 
Williamsburg private clean cozy RM
nice room in bedstuy M
Cozy
Perfect Weekender in the East Village...
Gorgeous room in Manhattan
46st Cozy Flat Midtown/Tms Squr/Javits Ctr/Pier 97
Bright Cozy Chinatown Studio Apt.
"Bedford Loft, Williamsburg Prime"
Heart of Hell's Kitchen Private Mezzanine
Nice Private Studio Apartment
Bright LARGE 2 BEDS! near Manhattan
THE SMALL CHATEAU IN THE TREES
Greatest Deal near EWR/NYC!
"Subway, Subway, Subway - AAA+ Location!!!"
Interfaith Retreat Guest Rooms (Mary)
Room w/pvt bathroom on Central Park
Stylish Room on Express Line to Midtown
"Modern, Clean 1 bedroom Apartment in Bushwick"
QUIET STUDIO IN THE CENTER OF MANHATTAN
Historic room in renovated brownstone
Paradise in New York City 2
