title,size_m2,price,latitude,longitude
Arcadia Costa del Este,76,253080,9.013731165902051,-79.47711825877423
"Apartamentos en Betania - $129,000 - Millenium Park - El Ingenio",58,129000,9.0132918,-79.51792969999997
"Oferta $1,900/ Alquilo Lujoso Apto en Amador | PH The Bridge",215,1900,8.910247303192293,-79.52087760290215
PH Venetian Tower / Punta Pacifica,517,1399000,8.974553953755313,-79.50671682076262
Coronado Golf con Vista Al Mar,112,185000,,
Apartamento en Venta en Santa Maria 20 - 5810 Yd,306,750000,8.988153819220292,-79.50460047104585
Buenavista - Alquiler o Venta - Santa María,399,4500,9.027188641929925,-79.44504686097252
"Nuovo By Armani Casa, Bellavista, Ganga",95,200000,8.9875064,-79.5238103
Ganga! Apartamento en Greenview Para Estrenar - Santa María,215,480000,9.021801426973738,-79.45548529941408
"Titanium, Costa del Este",226,460000,9.0131299,-79.467576
"Vendo Apartamento en Bethania de 3 Recámaras $145,000 #238a",112,145000,,
"Apartamento en Venta, Alquiler, San Francisco Tdp",107,230000,9.004436499999999,-79.5057703
Marbella/ Apartamento 246 m&sup2; - Recién Re - Modelado,246,598000,,
"Se Vende Apartamento en The Towers Residences, San Francisco",145,305000,8.993135548617241,-79.51153683576626
Se Vende Apartamento en Parque Lefevre,76,135000,9.004946984050669,-79.49520287594066
Super Ganga Apt Nuevo Aaa 2r2b con Linea Blanca en Av Balboa 1200,114,1200,,
The Sands Apartments & Mall,50,135000,8.961592399422885,-79.53694472854994
"Vista Horizonte - Entrega Inmediata - Visitanos en Redes, Quedate en Casa",110,174500,,
Portoalegre. Letra Quincenal Desde $488,,200000,9.03632178945991,-79.48477463865356
Calas de Mallorca Los Andes,71,99000,9.058822495989407,-79.50884898353121
La Sierra Club Residencial. Letra Quincenal $168,,99000,8.9555537,-79.66059180000002
Venta Apartamento en Bella Vista. Belle View. 3 Habitaciones,125,220000,8.974777324916266,-79.52992640832065
Condado del Rey,96,218875,9.0356086,-79.52697239999998
Apartamentos en Venta en Altos del Golf 20 - 1836 Yd,612,1000000,9.00049300128356,-79.49915863115791
